trial_id,algorithm,run_id,seed,has_nfz,distance_m,num_waypoints,compute_time_s,precompute_time_s,optimization_time_s,notes
A,Dijkstra,0,42,True,47200.0,473,0.823453436998534,0.0,0.823453436998534,Nearest-neighbor ordering
A,ACO,1,42,True,46000.0,461,2.3250383300000976,1.527752292000514,0.7971911910008203,Converged at iter 1
A,ACO,2,42,True,46000.0,461,2.3655354539987457,1.5865054500009137,0.7789525490006781,Converged at iter 0
A,ACO,3,42,True,46000.0,461,2.3052481510003417,1.5269313730004797,0.7782481930007634,Converged at iter 0
A,ACO,4,42,True,46000.0,461,2.335073258000193,1.5575007860006735,0.7775013030004629,Converged at iter 2
A,ACO,5,42,True,46000.0,461,2.330249475000528,1.5453870210003515,0.7847928219998721,Converged at iter 0
A,ACO,6,42,True,46000.0,461,2.355886568999267,1.5748145149991615,0.7809985099993355,Converged at iter 0
A,ACO,7,42,True,46000.0,461,2.3405803910009126,1.5494709740014514,0.7910362920010812,Converged at iter 1
A,ACO,8,42,True,46000.0,461,2.3300747409994074,1.5521209969992924,0.7778823659991758,Converged at iter 1
A,ACO,9,42,True,46000.0,461,2.352652121000574,1.567573012000139,0.7850046579987975,Converged at iter 1
A,ACO,10,42,True,46000.0,461,2.3649669679998624,1.572883319999164,0.792007800000647,Converged at iter 0
