trial_id,algorithm,run_id,seed,has_nfz,distance_m,num_waypoints,compute_time_s,precompute_time_s,optimization_time_s,notes
C,Dijkstra,0,99,True,55000.0,551,0.7664657080003963,0.0,0.7664657080003963,Nearest-neighbor ordering
C,ACO,1,99,True,47600.0,477,2.3541956810004194,1.5506752990004316,0.803428609000548,Converged at iter 2
C,ACO,2,99,True,47000.0,471,2.2940414940003393,1.5029793419998896,0.7909909840000182,Converged at iter 149
C,ACO,3,99,True,47000.0,471,2.3145754340002895,1.5267418010007532,0.7877570849996118,Converged at iter 50
C,ACO,4,99,True,47000.0,471,2.2928256890008925,1.502804740001011,0.7899441230001685,Converged at iter 174
C,ACO,5,99,True,47000.0,471,2.3102160340004048,1.5068662020003103,0.803269513999112,Converged at iter 73
C,ACO,6,99,True,47600.0,477,2.2963723479988403,1.5008638319995953,0.7954330169995956,Converged at iter 0
C,ACO,7,99,True,47000.0,471,2.3228850539999257,1.5283766049997212,0.7944313419993705,Converged at iter 175
C,ACO,8,99,True,47600.0,477,2.3004308820000006,1.5086547259998042,0.7917055449997861,Converged at iter 1
C,ACO,9,99,True,47600.0,477,2.308390721998876,1.5059465280010045,0.8023678560002736,Converged at iter 57
C,ACO,10,99,True,47400.0,475,2.2846196070004225,1.4934999650013197,0.791045818999919,Converged at iter 112
