trial_id,algorithm,run_id,seed,has_nfz,distance_m,num_waypoints,compute_time_s,precompute_time_s,optimization_time_s,notes
D,Dijkstra,0,42,False,48800.0,489,0.9861841799993272,0.0,0.9861841799993272,Nearest-neighbor ordering
D,ACO,1,42,False,46800.0,469,2.702682745000857,1.9223850700000185,0.7802134470002784,Converged at iter 57
D,ACO,2,42,False,46800.0,469,2.7195863619999727,1.9279289309997694,0.7915812320006808,Converged at iter 178
D,ACO,3,42,False,46800.0,469,2.736924046999775,1.9407956009999907,0.7960502220012131,Converged at iter 32
D,ACO,4,42,False,46800.0,469,2.7574365450000187,1.9452452469995478,0.8121197109994682,Converged at iter 85
D,ACO,5,42,False,46800.0,469,2.745002763998855,1.9701983069990092,0.7747140120009135,Converged at iter 69
D,ACO,6,42,False,47600.0,477,2.735973157999979,1.933359938000649,0.8025384909997229,Converged at iter 0
D,ACO,7,42,False,46800.0,469,2.7296344300011697,1.9466938509995089,0.7828639620001923,Converged at iter 53
D,ACO,8,42,False,46800.0,469,2.7544790970005124,1.960845686000539,0.793558679999478,Converged at iter 179
D,ACO,9,42,False,46800.0,469,2.742816373000096,1.9525890910008457,0.7901558320008917,Converged at iter 17
D,ACO,10,42,False,46800.0,469,2.769276348999483,1.9684049850002339,0.8007946769994305,Converged at iter 165
