trial_id,algorithm,run_id,seed,has_nfz,distance_m,num_waypoints,compute_time_s,precompute_time_s,optimization_time_s,notes
B,Dijkstra,0,7,True,51400.0,515,0.8117362469984073,0.0,0.8117362469984073,Nearest-neighbor ordering
B,ACO,1,7,True,44200.0,443,2.2962235330014664,1.506676687999061,0.7894534659990313,Converged at iter 2
B,ACO,2,7,True,44200.0,443,2.3019692380003107,1.5112732800007507,0.7906237419992976,Converged at iter 4
B,ACO,3,7,True,44200.0,443,2.269183181000699,1.4830178800002614,0.7860923850003019,Converged at iter 2
B,ACO,4,7,True,44200.0,443,2.288844511998832,1.5059956639997836,0.7827748159998009,Converged at iter 2
B,ACO,5,7,True,44200.0,443,2.2696925460004422,1.4848926570011827,0.7847224340002867,Converged at iter 2
B,ACO,6,7,True,44200.0,443,2.3217822070000693,1.5036688079999294,0.8179144189998624,Converged at iter 2
B,ACO,7,7,True,44200.0,443,2.2580483319998166,1.4848797409995314,0.7730950479999592,Converged at iter 3
B,ACO,8,7,True,44200.0,443,2.315301352999086,1.5335651550012699,0.7816585330001544,Converged at iter 1
B,ACO,9,7,True,44200.0,443,2.2764569079990906,1.495278190001045,0.781104616000448,Converged at iter 2
B,ACO,10,7,True,44200.0,443,2.2653009579989885,1.4860998890017072,0.7791231960000005,Converged at iter 1
